player_name,foot_enc,match_time,score_diff,is_shootout,home_away,pressure_index,zone_target,source
Meschak Elia,1,46,-2,0,0,1.84,ML,real
William Troost-Ekong,1,83,0,0,1,5.53,BC,real
Teboho Mokoena,1,93,-2,0,0,3.72,BL,real
Terem Igobor Moffi,0,88,1,0,1,5.87,BC,real
Teboho Mokoena,1,53,1,0,0,3.53,ML,real
Kenneth Josiah Omeruo,1,78,0,0,0,5.2,BL,real
Mihlali Samson Mayambela,1,70,1,0,0,4.67,MR,real
Temitayo Olufisayo Olaoluwa Aina,1,49,-2,0,1,1.96,TL,real
Evidence Makgopa,1,4,-1,0,0,0.27,BC,real
William Troost-Ekong,1,28,0,0,0,1.87,ML,real
Mothobi Mvala,1,33,-2,0,0,1.32,BL,real
Kelechi Promise Iheanacho,0,87,0,0,1,5.8,MR,real
Franck Yannick Kessié,1,85,-1,0,0,5.67,MC,real
Kalidou Koulibaly,1,71,0,0,0,4.73,MR,real
Nicolas Pépé,0,77,0,0,0,5.13,BL,real
Pape Matar Sarr,1,63,1,0,0,4.2,ML,real
Christian Kouamé,1,81,-1,0,1,5.4,BR,real
Moussa Niakhate,0,66,1,0,1,4.4,ML,real
Sébastien Haller,1,90,0,0,0,6,ML,real
Cheikh Ahmadou Bamba Mbacke Dieng,1,48,0,0,1,3.2,BL,real
Serge Aurier,1,53,0,0,0,3.53,TL,real
Sadio Mané,1,89,0,0,1,5.93,MC,real
Franck Yannick Kessié,1,58,-1,0,0,3.87,TR,real
Emilio Nsue López,1,59,0,0,0,3.93,BR,real
Adama Traoré,0,97,-1,0,0,6.47,BR,real
Tiago Manuel Dias Correia,1,81,0,0,0,5.4,BL,real
Teboho Mokoena,1,54,0,0,1,3.6,TL,real
Willy Afonso Semedo Johnson,1,69,0,0,1,4.6,ML,real
Zakhele Lerato Lepasa,1,58,1,0,1,3.87,TC,real
Laros Duarte,1,119,-1,0,0,7.93,ML,real
Aubrey Maphosa Modiba,0,54,2,0,1,2.16,BR,real
Bryan Silva Teixera,1,42,1,0,0,2.8,MR,real
Mothobi Mvala,1,89,2,0,1,3.56,MC,real
Erickson Patrick Correia Andrade,0,54,1,0,1,3.6,MR,real
Bertrand Isidore Traoré,0,50,-1,0,0,3.33,ML,real
Mohamed Bayo,1,116,0,0,0,7.73,TR,real
Yoane Wissa,1,76,-1,0,0,5.07,ML,real
Achraf Hakimi Mouh,1,85,1,0,1,5.67,TL,real
Ryan Isaac Mendes da Graça,1,51,0,0,1,3.4,MC,real
Mostafa Mohamed Ahmed Abdallah,1,77,-1,0,0,5.13,TR,real
Mohamed Abdel Monem,1,70,2,0,1,2.8,ML,real
Samuel Moutoussamy,0,83,-1,0,1,5.53,MR,real
Mostafa Mohamed Ahmed Abdallah,1,51,0,0,0,3.4,MR,real
Arthur Masuaku,0,42,1,0,1,2.8,TC,real
Omar Marmoush,1,23,-2,0,0,0.92,TL,real
Grady Diangana,0,89,0,0,1,5.93,BC,real
Omar Kamal Abdel Wahed,1,73,1,0,0,4.87,BR,real
Silas Katompa Mvumpa,1,83,-2,0,1,3.32,BR,real
Mohamed Hany Gamal Eldemerdash,1,44,0,0,0,2.93,MR,real
Aaron Tshibola,1,62,-1,0,0,4.13,BR,real
Ahmed Elsayed Ali Elsayed Hegazy,1,24,0,0,0,1.6,BL,real
Gedeon Kalulu Kyatengwa,1,29,-1,0,1,1.93,MR,real
Mostafa Fathi,0,28,2,0,0,1.12,TR,real
Chancel Mbemba Mangulu,1,88,1,0,1,5.87,BC,real
Mahmoud Hamada,1,110,-1,0,1,7.33,ML,real
Henoc Inonga Baka,1,74,0,0,1,4.93,ML,real
Mohamed Abougabal,1,51,0,0,1,3.4,TL,real
Lionel Mpasi-Nzau,1,87,1,0,1,5.8,TR,real
Mohamed Salah,0,81,0,0,0,5.4,ML,real
Jordan Ayew,1,45,-1,0,1,3,BR,real
Jordan Ayew,1,34,-1,0,0,2.27,ML,real
Geny Cipriano Catamo,0,59,3,0,1,1.18,BR,real
Percy Tau,0,102,0,0,0,6.8,BR,real
Cédric Bakambu,1,70,1,0,1,4.67,BL,real
Bertrand Isidore Traoré,0,63,0,0,1,4.2,BC,real
William Troost-Ekong,1,70,2,0,0,2.8,MC,real
Bertrand Isidore Traoré,0,96,-2,0,1,3.84,ML,real
Percy Tau,0,89,-1,0,0,5.93,TL,real
Cristóvão Paciência Mabululo,1,86,2,0,0,3.44,BL,real
Mohamed Salah,0,55,2,0,1,2.2,MR,real
Antoine Griezmann,0,116,0,0,1,7.73,TC,real
Lucas Vázquez Iglesias,1,6,0,0,0,0.4,BR,real
Antoine Griezmann,0,4,0,0,1,0.27,BL,real
Marcelo Vieira da Silva Júnior,0,19,0,0,1,1.27,MR,real
Gabriel Fernández Arenas,1,24,-1,0,1,1.6,TL,real
Gareth Frank Bale,0,89,1,0,1,5.93,BR,real
Saúl Ñíguez Esclapez,0,65,-1,0,0,4.33,BL,real
Sergio Ramos García,1,31,1,0,0,2.07,BR,real
Juan Francisco Torres Belén,1,22,-2,0,1,0.88,BL,real
Cristiano Ronaldo dos Santos Aveiro,1,77,-2,0,1,3.08,TR,real
Cristiano Ronaldo dos Santos Aveiro,1,80,0,0,0,5.33,MR,real
İlkay Gündoğan,1,24,0,0,1,1.6,BR,real
Arjen Robben,0,67,0,0,1,4.47,BR,real
Philipp Lahm,1,114,-2,0,1,4.56,MR,real
Juan Manuel Mata García,0,66,2,0,0,2.64,BC,real
Mario Gómez García,1,66,1,0,0,4.4,BR,real
David Luiz Moreira Marinho,1,42,1,0,0,2.8,TR,real
Manuel Neuer,1,84,-1,0,1,5.6,BL,real
Frank Lampard,1,63,0,0,1,4.2,TC,real
Ivica OliāE0,0,58,0,0,0,3.87,MR,real
Ashley Cole,0,16,0,0,1,1.07,MR,real
Bastian Schweinsteiger,1,62,-1,0,1,4.13,MR,real
Didier Yves Drogba Tébily,1,54,-2,0,0,2.16,BL,real
Xabier Alonso Olano,1,23,0,0,0,1.53,BL,real
Claudio Santos,0,98,-1,0,1,6.53,TL,real
Dietmar Hamann,1,63,0,0,1,4.2,ML,real
Andrea Pirlo,1,51,-1,0,1,3.4,BL,real
Djibril Cissé,1,50,-1,0,1,3.33,BR,real
Jon Dahl Tomasson,1,78,0,0,0,5.2,BL,real
John Arne Semundseth Riise,0,49,0,0,1,3.27,BL,real
Ricardo Izecson dos Santos Leite,1,26,0,0,1,1.73,TL,real
Vladimir Smicer,1,71,0,0,0,4.73,BR,real
Jonathan David,1,81,1,0,0,5.4,BL,real
Federico Santiago Valverde Dipetta,1,22,0,0,1,1.47,BL,real
Moise Bombito,1,78,0,0,1,5.2,BR,real
Rodrigo Bentancur Colmán,1,66,2,0,1,2.64,TL,real
Ismael Koné,1,44,0,0,0,2.93,BL,real
Giorgian Daniel De Arrascaeta Benedetti,1,44,2,0,0,1.76,TC,real
Mathieu Choiniere,1,24,1,0,1,1.6,ML,real
Luis Alberto Suárez Díaz,1,54,-2,0,1,2.16,MR,real
Alphonso Davies,0,87,0,0,1,5.8,TC,real
James David Rodríguez Rubio,0,108,0,0,1,7.2,TR,real
Miguel Ángel Borja Hernández,1,83,3,0,0,1.66,BR,real
Federico Santiago Valverde Dipetta,1,73,0,0,1,4.87,BL,real
Éder Gabriel Militão,1,49,-2,0,0,1.96,MR,real
Rodrigo Bentancur Colmán,1,21,0,0,1,1.4,BR,real
Andreas Hoelgebaum Pereira,1,109,-1,0,0,7.27,BL,real
Giorgian Daniel De Arrascaeta Benedetti,1,47,1,0,1,3.13,TL,real
Douglas Luiz Soares de Paulo,1,105,0,0,1,7,BL,real
José María Giménez de Vargas,1,60,1,0,1,4,MR,real
Gabriel Teodoro Martinelli Silva,1,53,1,0,1,3.53,MR,real
Manuel Ugarte Ribeiro,1,84,0,0,1,5.6,MR,real
Leandro Daniel Paredes,1,55,0,0,1,3.67,MR,real
José Salomón Rondón Giménez,1,58,1,0,0,3.87,BR,real
Jonathan David,1,89,1,0,0,5.93,MR,real
Yangel Clemente Herrera Ravelo,1,118,1,0,1,7.87,BL,real
Liam Millar,1,82,-2,0,1,3.28,TR,real
Tomás Eduardo Rincón Hernández,1,94,0,0,1,6.27,MC,real
Moise Bombito,1,27,-1,0,1,1.8,BR,real
Jefferson David Savarino Quintero,1,55,1,0,1,3.67,ML,real
Stephen Antunes Eustáquio,1,9,0,0,1,0.6,MR,real
Jhonder Leonel Cádiz Fernández,1,63,0,0,1,4.2,BR,real
Alphonso Davies,0,69,-1,0,1,4.6,TR,real
Wilker José Ángel Romero,1,20,0,0,0,1.33,BR,real
Ismael Koné,1,10,1,0,1,0.67,BL,real
Enner Remberto Valencia Lastra,1,75,-1,0,0,5,BL,real
Lionel Andrés Messi Cuccittini,0,88,-2,0,1,3.52,TC,real
Ángel Israel Mena Delgado,0,85,1,0,1,5.67,MR,real
Julián Álvarez,1,7,1,0,1,0.47,TR,real
Alan Steve Minda García,1,89,-1,0,0,5.93,ML,real
Alexis Mac Allister,1,47,-1,0,1,3.13,BR,real
John Yeboah Zamora,0,56,3,0,0,1.12,TR,real
Gonzalo Ariel Montiel,1,71,1,0,1,4.73,BR,real
Jordy Josué Caicedo Medina,1,5,0,0,0,0.33,MC,real
Nicolás Hernán Otamendi,1,27,0,0,0,1.8,BL,real
Luis Fernando Díaz Marulanda,1,48,-1,0,1,3.2,TR,real
Lucas Tolentino Coelho de Lima,0,61,-2,0,1,2.44,TR,real
Lucas Tolentino Coelho de Lima,0,52,1,0,0,3.47,BR,real
Ray Kendry Páez Andrade,0,1,-2,0,0,0.04,BR,real
José Salomón Rondón Giménez,1,30,-3,0,0,0.6,BL,real
Orbelín Pineda Alvarado,1,87,1,0,1,5.8,BL,real
Carles Rexach i Cerdà,1,48,2,0,0,1.92,BR,real
Isobel Mary Christiansen,1,52,1,0,0,3.47,BL,real
Fara Williams,1,54,0,0,0,3.6,BR,real
Ella Toone,1,20,0,0,0,1.33,BR,real
Kim Little,1,52,0,0,0,3.47,BR,real
Kim Little,1,71,0,0,1,4.73,BL,real
Christie Murray,1,98,0,0,1,6.53,BL,real
Lucy Hope,1,62,0,0,0,4.13,TC,real
Kenza Dali,1,87,0,0,1,5.8,BC,real
Maren Nævdal Mjelde,1,57,1,0,1,3.8,TR,real
Fara Williams,1,70,3,0,0,1.4,MR,real
Stine Larsen,1,75,-2,0,1,3,BL,real
Melanie Leupolz,1,74,0,0,1,4.93,ML,real
Chloe Kelly,1,81,-1,0,1,5.4,ML,real
Ella Toone,1,55,0,0,0,3.67,BR,real
Valérie Gauvin,1,68,-1,0,0,4.53,BR,real
Valérie Gauvin,1,17,-1,0,0,1.13,BL,real
Kim Little,1,82,1,0,0,5.47,TR,real
Inessa Kaagman,0,84,0,0,1,5.6,MR,real
Alexandra Morgan Carrasco,0,73,2,0,1,2.92,BL,real
Rianna Dean,1,35,-2,0,1,1.4,MR,real
Claudia Walker,1,25,-2,0,1,1,BL,real
Pernille Mosegaard Harder,1,75,0,0,1,5,BR,real
Caroline Weir,0,84,-2,0,0,3.36,BL,real
Samantha June Mewis,1,74,-1,0,0,4.93,ML,real
Rosemary Kathleen Lavelle,0,88,3,0,0,1.76,ML,real
Maren Nævdal Mjelde,1,51,-1,0,0,3.4,BR,real
Chloe Kelly,1,61,-1,0,1,4.07,TR,real
Chloe Logarzo,1,51,0,0,0,3.4,TR,real
Alexandra Morgan Carrasco,0,50,0,0,0,3.33,MR,real
Inessa Kaagman,0,67,0,0,0,4.47,TC,real
Melanie Leupolz,1,56,0,0,1,3.73,BL,real
Inessa Kaagman,0,34,1,0,1,2.27,MC,real
Ebony Salmon,1,64,-1,0,0,4.27,TR,real
Lucy Hope,1,93,0,0,0,6.2,BR,real
Isobel Mary Christiansen,1,65,0,0,0,4.33,MC,real
Inessa Kaagman,0,32,1,0,1,2.13,TR,real
Lucy Hope,1,111,0,0,0,7.4,BL,real
Maren Nævdal Mjelde,1,110,0,0,1,7.33,BL,real
Katie Zelem,1,2,-2,0,1,0.08,BL,real
Katie Zelem,1,10,-1,0,1,0.67,BL,real
Fara Williams,1,73,-2,0,0,2.92,BC,real
Fara Williams,1,26,1,0,0,1.73,TL,real
Georgia Stanway,1,88,-1,0,0,5.87,BC,real
Rianna Dean,1,84,1,0,1,5.6,BL,real
Fara Williams,1,63,-2,0,0,2.52,TL,real
Kim Little,1,44,1,0,0,2.93,BR,real
Kenza Dali,1,60,1,0,0,4,BR,real
Yana Daniëls,1,80,-2,0,1,3.2,BR,real
Melissa Lawley,1,51,-3,0,1,1.02,BL,real
Charlie Wellings,1,70,-2,0,0,2.8,ML,real
Katie Zelem,1,65,1,0,1,4.33,BR,real
Fern Whelan,1,54,-1,0,1,3.6,ML,real
Rachel Furness,0,73,0,0,1,4.87,BL,real
Rachel Furness,0,60,0,0,1,4,BL,real
Kayleigh Green,1,54,1,0,0,3.6,TR,real
Melissa Lawley,1,75,0,0,1,5,BL,real
Katie Zelem,1,53,0,0,1,3.53,BL,real
Rianna Dean,1,76,3,0,1,1.52,MR,real
Jane Ross,1,7,-1,0,1,0.47,BL,real
Kim Little,1,53,1,0,1,3.53,ML,real
Ellie Mason,0,120,-2,0,0,4.8,BR,real
Francesca Kirby,1,107,0,0,1,7.13,BL,real
Karen Julia Carney,1,65,1,0,1,4.33,MR,real
Lauren Bruton,1,82,0,0,0,5.47,ML,real
Danielle van de Donk,1,56,0,0,0,3.73,BR,real
Nikita Parris,1,5,-1,0,1,0.33,BL,real
Lucy Hope,1,43,0,0,0,2.87,BR,real
Francesca Kirby,1,44,0,0,1,2.93,BR,real
Nikita Parris,1,80,0,0,1,5.33,BL,real
Aoife Mannion,1,78,0,0,1,5.2,TR,real
Nikita Parris,1,86,0,0,0,5.73,ML,real
Kim Little,1,8,0,0,0,0.53,BR,real
Fara Williams,1,53,-1,0,1,3.53,BR,real
Kim Little,1,19,0,0,1,1.27,ML,real
Lucy Hope,1,29,-1,0,0,1.93,BC,real
Fara Williams,1,78,1,0,0,5.2,BR,real
Courtney Sweetman-Kirk,1,88,0,0,0,5.87,BR,real
Courtney Sweetman-Kirk,1,80,-1,0,1,5.33,ML,real
Nikita Parris,1,9,0,0,1,0.6,TL,real
Fara Williams,1,54,1,0,0,3.6,BR,real
Inessa Kaagman,0,95,-1,0,0,6.33,MC,real
Courtney Sweetman-Kirk,1,82,-1,0,0,5.47,TL,real
Hugo Alvez,1,104,-3,0,1,2.08,BC,real
Ismaïla Sarr,1,15,-2,0,0,0.6,BR,real
Lionel Andrés Messi Cuccittini,0,50,1,0,0,3.33,MR,real
Virgil van Dijk,1,18,3,0,0,0.36,ML,real
Lionel Andrés Messi Cuccittini,0,29,-2,0,1,1.16,BC,real
Steven Berghuis,0,93,1,0,0,6.2,MR,real
Leandro Daniel Paredes,1,72,-2,0,0,2.88,ML,real
Teun Koopmeiners,0,68,0,0,1,4.53,MR,real
Gonzalo Ariel Montiel,1,69,1,0,0,4.6,MR,real
Wout Weghorst,1,69,0,0,0,4.6,BL,real
Enzo Fernandez,1,47,-3,0,1,0.94,BL,real
Luuk de Jong,1,68,0,0,1,4.53,BL,real
Lautaro Javier Martínez,1,88,3,0,0,1.76,ML,real
Lionel Andrés Messi Cuccittini,0,65,-1,0,0,4.33,BC,real
Kylian Mbappé Lottin,1,58,-1,0,0,3.87,BL,real
Kylian Mbappé Lottin,1,14,-1,0,1,0.93,ML,real
Kylian Mbappé Lottin,1,19,0,0,1,1.27,ML,real
Lionel Andrés Messi Cuccittini,0,90,0,0,1,6,BL,real
Kingsley Coman,1,50,1,0,1,3.33,ML,real
Paulo Bruno Exequiel Dybala,0,111,1,0,0,7.4,BC,real
Aurélien Djani Tchouaméni,1,67,1,0,1,4.47,BL,real
Leandro Daniel Paredes,1,69,1,0,1,4.6,BL,real
Randal Kolo Muani,1,67,-1,0,0,4.47,MC,real
Gonzalo Ariel Montiel,1,14,0,0,1,0.93,BL,real
Lionel Andrés Messi Cuccittini,0,87,-1,0,1,5.8,MR,real
Lionel Andrés Messi Cuccittini,0,35,0,0,1,2.33,TR,real
Harry Kane,1,7,2,0,1,0.28,ML,real
Harry Kane,1,64,0,0,0,4.27,TC,real
Nikola VlašiāE1,1,11,3,0,0,0.22,TC,real
Rodrygo Silva de Goes,1,12,0,0,0,0.8,MC,real
Lovro Majer,0,89,0,0,1,5.93,BC,real
Carlos Henrique Casimiro,1,49,0,0,1,3.27,BL,real
Luka ModriāE1,1,79,-1,0,0,5.27,BL,real
Pedro Guilherme Abreu dos Santos,1,72,-1,0,0,4.8,BC,real
Mislav OršiāE1,1,56,0,0,0,3.73,BL,real
Marcos Aoás Corrêa,1,111,-2,0,1,4.44,BL,real
Abdelhamid Sabiri,1,56,2,0,0,2.24,BR,real
Pablo Sarabia García,0,78,-1,0,0,5.2,BR,real
Hakim Ziyech,0,41,-1,0,0,2.73,MC,real
Carlos Soler Barragán,1,74,1,0,1,4.93,BR,real
Badr Banoun,1,116,-2,0,0,4.64,BL,real
Sergio Busquets i Burgos,1,43,2,0,0,1.72,BL,real
Achraf Hakimi Mouh,1,73,1,0,0,4.87,BC,real
Takumi Minamino,1,48,-2,0,0,1.92,BC,real
Nikola VlašiāE1,1,101,0,0,0,6.73,ML,real
Kaoru Mitoma,1,23,0,0,1,1.53,BL,real
Marcelo BrozoviāE1,1,100,1,0,1,6.67,MC,real
Takuma Asano,1,72,1,0,1,4.8,MC,real
Marko Livaja,1,8,1,0,1,0.53,BL,real
Maya Yoshida,1,90,0,0,1,6,BL,real
Mario PašaliāE1,1,46,0,0,0,3.07,BL,real
Neymar da Silva Santos Junior,1,67,0,0,1,4.47,BR,real
Robert Lewandowski,1,35,2,0,0,1.4,BL,real
Bruno Miguel Borges Fernandes,1,68,0,0,0,4.53,BL,real
İlkay Gündoğan,1,86,0,0,1,5.73,MC,real
Gareth Frank Bale,0,23,0,0,0,1.53,MR,real
Enner Remberto Valencia Lastra,1,58,1,0,0,3.87,BR,real
Lionel Andrés Messi Cuccittini,0,67,3,0,0,1.34,BC,real
Cristiano Ronaldo dos Santos Aveiro,1,78,-1,0,0,5.2,ML,real
Salem Mohammed Al Dawsari,1,48,-1,0,1,3.2,BL,real
André Ayew Pelé,0,93,0,0,1,6.2,BR,real
Ferrán Torres García,1,39,0,0,0,2.6,BL,real
Mehdi Taremi,1,82,0,0,0,5.47,BR,real
Alphonso Davies,0,103,-2,0,1,4.12,BL,real
Robert Lewandowski,1,17,0,0,1,1.13,BR,real
Harry Kane,1,82,0,0,0,5.47,MC,real
Radamel Falcao García Zárate,1,45,0,0,1,3,MC,real
Harry Kane,1,78,0,0,0,5.2,BL,real
Juan Guillermo Cuadrado Bello,1,105,1,0,0,7,TL,real
Marcus Rashford,1,37,0,0,0,2.47,BL,real
Luis Fernando Muriel Fruto,1,11,1,0,1,0.73,BR,real
Jordan Brian Henderson,1,75,0,0,0,5,BR,real
Andrés Mateus Uribe Villa,1,33,0,0,0,2.2,TR,real
Kieran Trippier,1,79,0,0,0,5.27,TL,real
Carlos Arturo Bacca Ahumada,1,81,-1,0,0,5.4,MC,real
Eric Dier,1,86,-1,0,1,5.73,BL,real
Cristiano Ronaldo dos Santos Aveiro,1,13,0,0,0,0.87,MR,real
Karim Ansarifard,1,65,1,0,0,4.33,TR,real
Harry Kane,1,113,0,0,1,7.53,TL,real
Harry Kane,1,16,-2,0,1,0.64,ML,real
Carlos Alberto Vela Garrido,0,66,0,0,0,4.4,TC,real
Andreas Granqvist,1,74,-1,0,1,4.93,BR,real
Cristiano Ronaldo dos Santos Aveiro,1,54,1,0,1,3.6,MR,real
Ferjani Sassi,1,84,1,0,1,5.6,BL,real
Antoine Griezmann,0,12,0,0,1,0.8,BL,real
Luka ModriāE1,1,80,0,0,1,5.33,BR,real
Christian Dannemann Eriksen,1,31,0,0,0,2.07,BL,real
Milan Badelj,1,74,0,0,0,4.93,BC,real
Simon Thorup Kjær,1,12,1,0,0,0.8,TR,real
Andrej KramariāE1,1,113,1,0,0,7.53,BL,real
Michael Krohn-Dehli,1,29,0,0,1,1.93,BL,real
Luka ModriāE1,1,27,0,0,0,1.8,BC,real
Lasse Schöne,1,34,-2,0,0,1.36,BL,real
Josip PivariāE0,0,59,-1,0,1,3.93,BL,real
Nicolai Jørgensen,1,61,-1,0,1,4.07,BC,real
Ivan RakitiāE1,1,65,0,0,1,4.33,BL,real
Gylfi Þór Sigurðsson,1,75,2,0,0,3,TR,real
Luka ModriāE1,1,45,0,0,0,3,BL,real
Bryan Ruiz González,0,81,-1,0,1,5.4,TR,real
Antoine Griezmann,0,1,-1,0,0,0.07,MR,real
Mile Jedinak,1,76,0,0,0,5.07,BR,real
Mile Jedinak,1,45,1,0,1,3,BR,real
Antoine Griezmann,0,87,0,0,0,5.8,BL,real
Gylfi Þór Sigurðsson,1,89,1,0,1,5.93,TC,real
Lionel Andrés Messi Cuccittini,0,5,1,0,0,0.33,ML,real
Artem Dzyuba,1,95,-1,0,1,6.33,MR,real
Andrés Iniesta Luján,1,77,0,0,1,5.13,MR,real
Fyodor Smolov,1,62,2,0,1,2.48,ML,real
Gerard Piqué Bernabéu,1,72,0,0,0,4.8,ML,real
